,Lat,Lon,Movimientos por Dia
0,-32.95421439665977,-60.655986964702606,165.84782608695653
1,-32.956663076908484,-60.64486920833588,277.2282608695652
2,-32.95812144981906,-60.63670188188553,266.6630434782609
3,-32.959215213707765,-60.62944918870926,212.3586956521739
4,-32.96736625395059,-60.62357246875763,26.119565217391305
5,-32.96850040867347,-60.62398016452789,16.76086956521739
6,-32.93944885753075,-60.67054331302643,217.3804347826087
7,-32.9403492658816,-60.665243268013,202.17391304347825
8,-32.94573801821987,-60.65809518098831,132.93478260869566
9,-32.94996730598237,-60.654785335063934,227.3804347826087
10,-32.94402733877261,-60.65053671598434,198.3695652173913
11,-32.94531035146112,-60.644497722387314,190.3695652173913
12,-32.9493843560409,-60.63740864396095,213.70652173913044
13,-32.94882616098827,-60.641776621341705,281.3152173913044
14,-32.94755220262625,-60.63288778066635,163.19565217391303
15,-32.936590000253865,-60.65140575170517,265.9347826086956
16,-32.935878648179575,-60.64261347055435,185.0326086956522
17,-32.94099755421734,-60.63473045825958,71.81521739130434
18,-32.95358421061909,-60.66343545913696,103.19565217391305
19,-32.95206724436681,-60.67079275846481,141.18478260869566
20,-32.96512040461018,-60.65592795610428,149.15217391304347
21,-32.92663505330592,-60.65880596637726,59.66304347826087
22,-32.93184904583995,-60.65018132328987,151.1413043478261
23,-32.94041229412281,-60.64960062503815,152.1304347826087
24,-32.962680960480846,-60.64523935317993,148.45652173913044
25,-32.96806835144843,-60.64059376716614,61.28260869565217
26,-32.96399070730771,-60.63680648803711,98.18478260869566
27,-32.95339515393067,-60.62930703163147,183.92391304347825
28,-32.935162788101124,-60.65977692604065,168.56521739130434
29,-32.94162782998716,-60.63880205154419,238.95652173913044
30,-32.95894064873677,-60.67002296447754,79.93478260869566
31,-32.963612638052126,-60.66525936126709,143.52173913043478
32,-32.94575602519591,-60.672104358673096,134.2608695652174
33,-32.9556277975818,-60.65117239952088,223.91304347826087
34,-32.971511248782775,-60.6603080034256,71.6304347826087
35,-32.97084968284816,-60.64461708068848,81.92391304347827
36,-32.96977681526667,-60.633952617645264,84.1413043478261
37,-32.97733374029842,-60.64409136772156,100.1304347826087
38,-32.95019913442736,-60.68156719207764,101.22826086956522
39,-32.92301479484789,-60.66567778587341,90.95652173913044
40,-32.974683996129144,-60.669100284576416,66.1195652173913
41,-32.978554143531696,-60.649391412734985,59.619565217391305
42,-32.944418997251766,-60.68002223968506,108.71739130434783
43,-32.957783865637914,-60.68373441696167,54.52173913043478
44,-32.92653599347845,-60.6690788269043,95.54347826086956
45,-32.97646608507204,-60.66103219985962,60.53260869565217
46,-32.97858114396427,-60.63432276248932,55.76086956521739
47,-32.92171051403622,-60.67459104854584,71.6086956521739
48,-32.916072619129054,-60.673173501081465,46.67391304347826
49,-32.934106315234914,-60.66570220787048,111.33695652173913
50,-32.95708325593757,-60.676323755569456,58.15217391304348
51,-32.947594287181566,-60.662102683372495,170.8804347826087
52,-32.939457,-60.679149,88.02173913043478
53,-32.9581866,-60.6913242,52.32608695652174
54,-32.9093257,-60.6833951,31.293478260869566
55,-32.91422795893311,-60.68635056866098,48.19565217391305
56,-32.894645560577175,-60.69265425549448,33.31521739130435
57,-32.9004262817609,-60.69081468532575,20.869565217391305
58,-32.91293717782394,-60.68009608761775,18.01086956521739
59,-32.89180515414552,-60.68577111042986,57.119565217391305
60,-32.88490773761225,-60.68735302130976,26.554347826086957
61,-32.910503,-60.677572,27.97826086956522
62,-32.906549276588485,-60.6889224677472,20.652173913043477
63,-32.942375,-60.691032,32.48913043478261
64,-32.941427,-60.696252,37.83695652173913
65,-32.940079,-60.705073,23.934782608695652
66,-32.940247,-60.711147,34.97826086956522
67,-32.933226,-60.713076,24.152173913043477
68,-32.928205,-60.712881,17.804347826086957
69,-32.884702,-60.695824,16.891304347826086
70,-32.878274,-60.697782,18.347826086956523
71,-32.8736414,-60.6890764,13.684782608695652
